letter  frequency

       0.16118585
     о 0.09556165
     а 0.06821165
     е 0.06805484
     и 0.05683070
     н 0.05328088
     т 0.05035304
     с 0.04711312
     л 0.04086943
     в 0.04075866
     р 0.03938684
     к 0.02891971
     д 0.02561476
     м 0.02504133
     у 0.02209481
     п 0.02170869
     я 0.01789440
     г 0.01720491
     ь 0.01553345
     ы 0.01551478
     з 0.01490432
     б 0.01405522
     ч 0.01178637
     й 0.00890208
     ж 0.00857912
     ш 0.00745527
     х 0.00703990
     ю 0.00540983
     ц 0.00305977
     э 0.00246736
     щ 0.00241384
     ф 0.00180991
     ё 0.00061419
     ъ 0.00036933
