letter  frequency

     о 0.11392470
     а 0.08131915
     е 0.08113220
     и 0.06775124
     н 0.06351929
     т 0.06002884
     с 0.05616633
     л 0.04872287
     в 0.04859082
     р 0.04695538
     к 0.03447690
     д 0.03053687
     м 0.02985325
     у 0.02634053
     п 0.02588021
     я 0.02133297
     г 0.02051099
     ь 0.01851835
     ы 0.01849609
     з 0.01776832
     б 0.01675605
     ч 0.01405123
     й 0.01061270
     ж 0.01022767
     ш 0.00888787
     х 0.00839268
     ю 0.00644937
     ц 0.00364773
     э 0.00294148
     щ 0.00287768
     ф 0.00215770
     ё 0.00073222
     ъ 0.00044029
